LC,DC,Y,M
PL,ME,2022,1
PL,AD,2022,1
PL,HU,2022,1
PL,HR,2022,1
PL,BA,2022,1
PL,RS,2022,1
PL,FR,2022,1
PL,AL,2022,1
PL,CH,2022,1
PL,MK,2022,1
PL,DK,2022,1
PL,IE,2022,1
PL,RO,2022,1
PL,DE,2022,1
PL,MD,2022,1
PL,AT,2022,1
PL,CZ,2022,1
PL,NO,2022,1
PL,EE,2022,1
PL,SK,2022,1
PL,BG,2022,1
PL,ES,2022,1
PL,BE,2022,1
PL,NL,2022,1
PL,LT,2022,1
PL,FI,2022,1
PL,GB,2022,1
PL,SE,2022,1
PL,SI,2022,1
PL,UA,2022,1
PL,IT,2022,1
PL,LV,2022,1
PL,GR,2022,1
PL,IS,2022,1
PL,TR,2022,1
PL,PT,2022,1
PL,CY,2022,1
PL,KZ,2022,1
PL,RU,2022,1
PL,BY,2022,1
PL,AZ,2022,1
PL,GE,2022,1
PL,AM,2022,1
PL,LU,2022,1
PL,ME,2022,2
PL,AD,2022,2
PL,HU,2022,2
PL,HR,2022,2
PL,BA,2022,2
PL,RS,2022,2
PL,FR,2022,2
PL,AL,2022,2
PL,CH,2022,2
PL,MK,2022,2
PL,DK,2022,2
PL,IE,2022,2
PL,RO,2022,2
PL,DE,2022,2
PL,MD,2022,2
PL,AT,2022,2
PL,CZ,2022,2
PL,NO,2022,2
PL,EE,2022,2
PL,SK,2022,2
PL,BG,2022,2
PL,ES,2022,2
PL,BE,2022,2
PL,NL,2022,2
PL,LT,2022,2
PL,FI,2022,2
PL,GB,2022,2
PL,SE,2022,2
PL,SI,2022,2
PL,UA,2022,2
PL,IT,2022,2
PL,LV,2022,2
PL,GR,2022,2
PL,IS,2022,2
PL,TR,2022,2
PL,PT,2022,2
PL,CY,2022,2
PL,KZ,2022,2
PL,RU,2022,2
PL,BY,2022,2
PL,AZ,2022,2
PL,GE,2022,2
PL,AM,2022,2
PL,LU,2022,2
PL,ME,2022,3
PL,AD,2022,3
PL,HU,2022,3
PL,HR,2022,3
PL,BA,2022,3
PL,RS,2022,3
PL,FR,2022,3
PL,AL,2022,3
PL,CH,2022,3
PL,MK,2022,3
PL,DK,2022,3
PL,IE,2022,3
PL,RO,2022,3
PL,DE,2022,3
PL,MD,2022,3
PL,AT,2022,3
PL,CZ,2022,3
PL,NO,2022,3
PL,EE,2022,3
PL,SK,2022,3
PL,BG,2022,3
PL,ES,2022,3
PL,BE,2022,3
PL,NL,2022,3
PL,LT,2022,3
PL,FI,2022,3
PL,GB,2022,3
PL,SE,2022,3
PL,SI,2022,3
PL,UA,2022,3
PL,IT,2022,3
PL,LV,2022,3
PL,GR,2022,3
PL,IS,2022,3
PL,TR,2022,3
PL,PT,2022,3
PL,CY,2022,3
PL,KZ,2022,3
PL,RU,2022,3
PL,BY,2022,3
PL,AZ,2022,3
PL,GE,2022,3
PL,AM,2022,3
PL,LU,2022,3
PL,ME,2022,4
PL,AD,2022,4
PL,HU,2022,4
PL,HR,2022,4
PL,BA,2022,4
PL,RS,2022,4
PL,FR,2022,4
PL,AL,2022,4
PL,CH,2022,4
PL,MK,2022,4
PL,DK,2022,4
PL,IE,2022,4
PL,RO,2022,4
PL,DE,2022,4
PL,MD,2022,4
PL,AT,2022,4
PL,CZ,2022,4
PL,NO,2022,4
PL,EE,2022,4
PL,SK,2022,4
PL,BG,2022,4
PL,ES,2022,4
PL,BE,2022,4
PL,NL,2022,4
PL,LT,2022,4
PL,FI,2022,4
PL,GB,2022,4
PL,SE,2022,4
PL,SI,2022,4
PL,UA,2022,4
PL,IT,2022,4
PL,LV,2022,4
PL,GR,2022,4
PL,IS,2022,4
PL,TR,2022,4
PL,PT,2022,4
PL,CY,2022,4
PL,KZ,2022,4
PL,RU,2022,4
PL,BY,2022,4
PL,AZ,2022,4
PL,GE,2022,4
PL,AM,2022,4
PL,LU,2022,4
PL,ME,2022,5
PL,AD,2022,5
PL,HU,2022,5
PL,HR,2022,5
PL,BA,2022,5
PL,RS,2022,5
PL,FR,2022,5
PL,AL,2022,5
PL,CH,2022,5
PL,MK,2022,5
PL,DK,2022,5
PL,IE,2022,5
PL,RO,2022,5
PL,DE,2022,5
PL,MD,2022,5
PL,AT,2022,5
PL,CZ,2022,5
PL,NO,2022,5
PL,EE,2022,5
PL,SK,2022,5
PL,BG,2022,5
PL,ES,2022,5
PL,BE,2022,5
PL,NL,2022,5
PL,LT,2022,5
PL,FI,2022,5
PL,GB,2022,5
PL,SE,2022,5
PL,SI,2022,5
PL,UA,2022,5
PL,IT,2022,5
PL,LV,2022,5
PL,GR,2022,5
PL,IS,2022,5
PL,TR,2022,5
PL,PT,2022,5
PL,CY,2022,5
PL,KZ,2022,5
PL,RU,2022,5
PL,BY,2022,5
PL,AZ,2022,5
PL,GE,2022,5
PL,AM,2022,5
PL,LU,2022,5
PL,ME,2022,6
PL,AD,2022,6
PL,HU,2022,6
PL,HR,2022,6
PL,BA,2022,6
PL,RS,2022,6
PL,FR,2022,6
PL,AL,2022,6
PL,CH,2022,6
PL,MK,2022,6
PL,DK,2022,6
PL,IE,2022,6
PL,RO,2022,6
PL,DE,2022,6
PL,MD,2022,6
PL,AT,2022,6
PL,CZ,2022,6
PL,NO,2022,6
PL,EE,2022,6
PL,SK,2022,6
PL,BG,2022,6
PL,ES,2022,6
PL,BE,2022,6
PL,NL,2022,6
PL,LT,2022,6
PL,FI,2022,6
PL,GB,2022,6
PL,SE,2022,6
PL,SI,2022,6
PL,UA,2022,6
PL,IT,2022,6
PL,LV,2022,6
PL,GR,2022,6
PL,IS,2022,6
PL,TR,2022,6
PL,PT,2022,6
PL,CY,2022,6
PL,KZ,2022,6
PL,RU,2022,6
PL,BY,2022,6
PL,AZ,2022,6
PL,GE,2022,6
PL,AM,2022,6
PL,LU,2022,6
PL,ME,2022,7
