LC,DC,Y,M,D
PL,ME,2019,1,41
PL,AD,2019,1,0
PL,HU,2019,1,34
PL,HR,2019,1,34
PL,BA,2019,1,64
PL,RS,2019,1,84
PL,FR,2019,1,48
PL,AL,2019,1,54
PL,CH,2019,1,21
PL,MK,2019,1,43
PL,DK,2019,1,13
PL,IE,2019,1,21
PL,RO,2019,1,40
PL,DE,2019,1,45
PL,MD,2019,1,36
PL,AT,2019,1,38
PL,CZ,2019,1,39
PL,NO,2019,1,6
PL,EE,2019,1,19
PL,SK,2019,1,26
PL,BG,2019,1,21
PL,ES,2019,1,9
PL,BE,2019,1,8
PL,NL,2019,1,11
PL,LT,2019,1,22
PL,FI,2019,1,7
PL,GB,2019,1,20
PL,SE,2019,1,13
PL,SI,2019,1,19
PL,UA,2019,1,10
PL,IT,2019,1,23
PL,LV,2019,1,15
PL,GR,2019,1,5
PL,IS,2019,1,6
PL,TR,2019,1,7
PL,PT,2019,1,4
PL,CY,2019,1,3
PL,KZ,2019,1,7
PL,RU,2019,1,13
PL,BY,2019,1,7
PL,AZ,2019,1,8
PL,GE,2019,1,3
PL,AM,2019,1,0
PL,LU,2019,1,0
PL,ME,2019,2,8
PL,AD,2019,2,0
PL,HU,2019,2,32
PL,HR,2019,2,26
PL,BA,2019,2,29
PL,RS,2019,2,53
PL,FR,2019,2,50
PL,AL,2019,2,13
PL,CH,2019,2,21
PL,MK,2019,2,11
PL,DK,2019,2,14
PL,IE,2019,2,28
PL,RO,2019,2,32
PL,DE,2019,2,50
PL,MD,2019,2,22
PL,AT,2019,2,35
PL,CZ,2019,2,35
PL,NO,2019,2,16
PL,EE,2019,2,13
PL,SK,2019,2,22
PL,BG,2019,2,23
PL,ES,2019,2,9
PL,BE,2019,2,9
PL,NL,2019,2,14
PL,LT,2019,2,17
PL,FI,2019,2,5
PL,GB,2019,2,9
PL,SE,2019,2,8
PL,SI,2019,2,16
PL,UA,2019,2,12
PL,IT,2019,2,16
PL,LV,2019,2,8
PL,GR,2019,2,7
PL,IS,2019,2,9
PL,TR,2019,2,7
